"","specimen_id","run","lanai_side","ek_day1","ek_day5","ek_day9","ek_delta","treatment","temp","rlc_order","plant_id","species","perc_delta"
"60","hm2-4","1","diamond",197.5,122.5,202.1,0.0232911392405063,"4",20,2,8,"hm",2.329
"61","ul2-1","1","diamond",66.6,65.3,72.6,0.0900900900900901,"1",20,2,8,"ul",9.009
"62","ul2-2","1","diamond",75.8,82.2,82.3,0.0857519788918206,"2",20,2,8,"ul",8.575
"63","ul2-3","1","diamond",86.4,71.4,99.6,0.152777777777778,"3",20,2,8,"ul",15.278
"64","ul2-4","1","diamond",73,80.3,83.6,0.145205479452055,"4",20,2,8,"ul",14.521
"65","hm3-1","1","diamond",128,85.1,60.4,-0.528125,"1",27,3,9,"hm",-52.812
"66","hm3-2","1","diamond",97.1,82.5,50.9,-0.475798146240989,"2",27,3,9,"hm",-47.58
"67","hm3-3","1","diamond",93.3,100.1,85.4,-0.0846730975348338,"3",27,3,9,"hm",-8.467
"68","hm3-4","1","diamond",128.9,88.5,86.9,-0.325833979829325,"4",27,3,9,"hm",-32.583
"69","ul3-1","1","diamond",89.3,76.4,75.3,-0.156774916013438,"1",27,3,9,"ul",-15.677
"70","ul3-2","1","diamond",74.9,74.5,64,-0.145527369826435,"2",27,3,9,"ul",-14.553
"71","ul3-3","1","diamond",61.4,92,79.5,0.294788273615635,"3",27,3,9,"ul",29.479
"72","ul3-4","1","diamond",83.6,136.7,86.1,0.0299043062200957,"4",27,3,9,"ul",2.99
"73","hm4-1","1","diamond",160.8,75.5,84.6,-0.473880597014925,"1",27,4,10,"hm",-47.388
"74","hm4-2","1","diamond",151,92,92.7,-0.386092715231788,"2",27,4,10,"hm",-38.609
"75","hm4-3","1","diamond",109.4,116.3,63.3,-0.421389396709324,"3",27,4,10,"hm",-42.139
"76","hm4-4","1","diamond",103.7,134.3,69.4,-0.33076181292189,"4",27,4,10,"hm",-33.076
"77","ul4-1","1","diamond",90.3,94.3,70.5,-0.219269102990033,"1",27,4,10,"ul",-21.927
"78","ul4-2","1","diamond",127.5,84.9,56.8,-0.554509803921569,"2",27,4,10,"ul",-55.451
"79","ul4-3","1","diamond",108.9,97.3,78.2,-0.281910009182736,"3",27,4,10,"ul",-28.191
"80","ul4-4","1","diamond",102.2,129.3,127.3,0.24559686888454,"4",27,4,10,"ul",24.56
"81","hm5-1","1","diamond",111.8,97.8,78.3,-0.299642218246869,"1",30,5,11,"hm",-29.964
"82","hm5-2","1","diamond",119.6,125.5,71.3,-0.403846153846154,"2",30,5,11,"hm",-40.385
"83","hm5-3","1","diamond",118.6,109.9,71,-0.401349072512648,"3",30,5,11,"hm",-40.135
"84","hm5-4","1","diamond",100.9,164.6,104,0.0307234886025767,"4",30,5,11,"hm",3.072
"85","ul5-1","1","diamond",92.8,78.8,67,-0.27801724137931,"1",30,5,11,"ul",-27.802
"86","ul5-2","1","diamond",94.7,94.8,80.9,-0.145723336853221,"2",30,5,11,"ul",-14.572
"87","ul5-3","1","diamond",106.9,95.2,90,-0.158091674462114,"3",30,5,11,"ul",-15.809
"88","ul5-4","1","diamond",123.5,141.8,82.8,-0.329554655870445,"4",30,5,11,"ul",-32.955
"89","hm6-1","1","diamond",129.7,84.9,43.3,-0.66615265998458,"1",30,6,12,"hm",-66.615
"90","hm6-2","1","diamond",122.6,107.4,55.3,-0.548939641109298,"2",30,6,12,"hm",-54.894
"91","hm6-3","1","diamond",113.9,109.7,58.2,-0.489025460930641,"3",30,6,12,"hm",-48.903
"92","hm6-4","1","diamond",147.4,151.2,57.4,-0.610583446404342,"4",30,6,12,"hm",-61.058
"93","ul6-1","1","diamond",72.5,98.2,70.2,-0.0317241379310344,"1",30,6,12,"ul",-3.172
"94","ul6-2","1","diamond",75.6,94,57.6,-0.238095238095238,"2",30,6,12,"ul",-23.81
"95","ul6-3","1","diamond",129.1,115.6,96.6,-0.251742835011619,"3",30,6,12,"ul",-25.174
"96","ul6-4","1","diamond",59.7,122.4,83.7,0.402010050251256,"4",30,6,12,"ul",40.201
"97","hm1-1","2","ewa",133.1,63.5,73.2,-0.450037565740045,"1",30,1,13,"hm",-45.004
"98","hm1-2","2","ewa",116.4,60.9,67.7,-0.418384879725086,"2",30,1,13,"hm",-41.838
"99","hm1-3","2","ewa",111.5,84.5,77.4,-0.305829596412556,"3",30,1,13,"hm",-30.583
"100","hm1-4","2","ewa",128.9,98.4,96.4,-0.252133436772692,"4",30,1,13,"hm",-25.213
"101","ul1-1","2","ewa",140.3,79.5,61.1,-0.564504632929437,"1",30,1,13,"ul",-56.45
"102","ul1-2","2","ewa",101.8,72.9,49.1,-0.517681728880157,"2",30,1,13,"ul",-51.768
"103","ul1-3","2","ewa",99.3,98.5,83.4,-0.16012084592145,"3",30,1,13,"ul",-16.012
"104","ul1-4","2","ewa",69.3,71.4,61.8,-0.108225108225108,"4",30,1,13,"ul",-10.823
"105","hm2-1","2","ewa",123.4,92.3,87.9,-0.287682333873582,"1",30,2,14,"hm",-28.768
"106","hm2-2","2","ewa",150.5,61.4,86,-0.428571428571429,"2",30,2,14,"hm",-42.857
"107","hm2-3","2","ewa",103.2,71.2,70.1,-0.320736434108527,"3",30,2,14,"hm",-32.074
"108","hm2-4","2","ewa",153.3,115.1,89.4,-0.416829745596869,"4",30,2,14,"hm",-41.683
"109","ul2-1","2","ewa",86,57.7,41.8,-0.513953488372093,"1",30,2,14,"ul",-51.395
"110","ul2-2","2","ewa",134.1,92.6,100.9,-0.247576435495899,"2",30,2,14,"ul",-24.758
"111","ul2-3","2","ewa",107.7,104.7,99.2,-0.0789229340761374,"3",30,2,14,"ul",-7.892
"112","ul2-4","2","ewa",101.7,81.5,82.8,-0.185840707964602,"4",30,2,14,"ul",-18.584
"113","hm3-1","2","ewa",190.3,104.3,98.1,-0.484498160798739,"1",27,3,15,"hm",-48.45
"114","hm3-2","2","ewa",168,86.3,109.6,-0.347619047619048,"2",27,3,15,"hm",-34.762
"115","hm3-3","2","ewa",186,104,114,-0.387096774193548,"3",27,3,15,"hm",-38.71
"116","hm3-4","2","ewa",158.3,118.7,136.9,-0.13518635502211,"4",27,3,15,"hm",-13.519
"117","ul3-1","2","ewa",94.4,63.7,41.9,-0.55614406779661,"1",27,3,15,"ul",-55.614
"118","ul3-2","2","ewa",75.4,77.5,52.7,-0.30106100795756,"2",27,3,15,"ul",-30.106
"119","ul3-3","2","ewa",97.3,125.6,88.3,-0.092497430626927,"3",27,3,15,"ul",-9.25
"120","ul3-4","2","ewa",96.9,87,101.6,0.0485036119711041,"4",27,3,15,"ul",4.85
"121","hm4-1","2","ewa",133,85.2,88.1,-0.337593984962406,"1",27,4,16,"hm",-33.759
"122","hm4-2","2","ewa",143.5,73.2,80.7,-0.437630662020906,"2",27,4,16,"hm",-43.763
"123","hm4-3","2","ewa",102,93.7,56.2,-0.449019607843137,"3",27,4,16,"hm",-44.902
"124","hm4-4","2","ewa",104.6,169.3,89,-0.149139579349904,"4",27,4,16,"hm",-14.914
"125","hm5-1","2","ewa",134.2,141.9,86.6,-0.354694485842027,"1",20,4,17,"hm",-35.469
"126","hm5-2","2","ewa",69,100.4,97,0.405797101449275,"2",20,4,17,"hm",40.58
"127","hm5-3","2","ewa",46.3,156.6,86.7,0.872570194384449,"3",20,4,17,"hm",87.257
"128","hm5-4","2","ewa",146.4,126.3,120.3,-0.17827868852459,"4",20,4,17,"hm",-17.828
"129","hm6-1","2","ewa",227.9,132.2,108.1,-0.525669153137341,"1",20,5,18,"hm",-52.567
"130","hm6-2","2","ewa",145.2,143.9,102.1,-0.296831955922865,"2",20,5,18,"hm",-29.683
"131","hm6-3","2","ewa",182.9,135.7,101.3,-0.446145434663751,"3",20,5,18,"hm",-44.615
"132","hm6-4","2","ewa",147.5,109.1,121.2,-0.178305084745763,"4",20,5,18,"hm",-17.831
"133","ul4-1","2","ewa",108.9,76.2,75.1,-0.310376492194674,"1",27,5,16,"ul",-31.038
"134","ul4-2","2","ewa",136.7,79.3,73.8,-0.46013167520117,"2",27,5,16,"ul",-46.013
"135","ul4-3","2","ewa",117.3,85.7,76.4,-0.348678601875533,"3",27,5,16,"ul",-34.868
"136","ul4-4","2","ewa",125.6,116.1,84.4,-0.328025477707006,"4",27,5,16,"ul",-32.803
"137","ul5-1","2","ewa",90.5,70,66.3,-0.267403314917127,"1",20,6,17,"ul",-26.74
"138","ul5-3","2","ewa",112.5,98.6,85.3,-0.241777777777778,"3",20,6,17,"ul",-24.178
"139","ul5-4","2","ewa",87.6,103.9,99,0.13013698630137,"4",20,6,17,"ul",13.014
"140","ul6-1","2","ewa",95.9,89.4,83.6,-0.128258602711158,"1",20,6,18,"ul",-12.826
"141","ul6-2","2","ewa",114.4,80.7,94.2,-0.176573426573427,"2",20,6,18,"ul",-17.657
"142","ul6-3","2","ewa",88.8,88,88.8,0,"3",20,6,18,"ul",0
"143","ul6-4","2","ewa",84.5,90.2,89.5,0.0591715976331361,"4",20,6,18,"ul",5.917
"144","ul5-2","2","ewa",97.9,91.9,70.8,-0.276813074565884,"2",20,6,17,"ul",-27.681
"145","hm1-1","2","diamond",86.2,186.2,61.9,-0.281902552204176,"1",20,1,19,"hm",-28.19
"146","hm1-2","2","diamond",79.8,95.7,112,0.403508771929825,"2",20,1,19,"hm",40.351
"147","hm1-3","2","diamond",92.6,194.9,117.6,0.269978401727862,"3",20,1,19,"hm",26.998
"148","hm1-4","2","diamond",107.1,151.2,65.6,-0.387488328664799,"4",20,1,19,"hm",-38.749
"149","ul1-1","2","diamond",83.3,77.1,49.6,-0.404561824729892,"1",20,1,19,"ul",-40.456
